"Chr","Start","End","Conc","Conc_alpha","Conc_beta","Fold","p-value","FDR","Called1","Called2"
"chr2",72980429,72980629,5.16,5.99,4.13,1.86,1.05e-06,7.81e-05,2,3
"chr11",111065983,111066183,3.92,4.87,2.54,2.32,1.05e-06,7.83e-05,2,3
"chr17",43114325,43114525,3.23,4.27,1.46,2.81,1.06e-06,7.87e-05,2,2
"chr1",155216257,155216457,2.52,3.68,0.04,3.64,1.06e-06,7.88e-05,2,1
"chr14",27823143,27823343,2.52,3.68,0.04,3.64,1.06e-06,7.88e-05,2,1
"chr2",148239248,148239448,2.52,3.68,0.04,3.64,1.06e-06,7.88e-05,2,0
"chr2",171856950,171857150,2.52,3.68,0.04,3.64,1.06e-06,7.88e-05,2,1
"chr4",62699497,62699697,2.52,3.68,0.04,3.64,1.06e-06,7.88e-05,2,1
"chr5",97996038,97996238,2.52,3.68,0.04,3.64,1.06e-06,7.88e-05,2,0
"chr6",117166914,117167114,2.52,3.68,0.04,3.64,1.06e-06,7.88e-05,2,0
"chr14",70443297,70443497,4.08,5.01,2.78,2.23,1.07e-06,7.88e-05,2,3
"chr7",135139256,135139456,2.69,3.81,0.46,3.36,1.07e-06,7.88e-05,2,1
"chr11",86757757,86757957,3.92,4.86,2.54,2.32,1.07e-06,7.92e-05,2,3
"chr3",35066920,35067120,4.19,5.1,2.92,2.18,1.08e-06,7.96e-05,2,3
"chr5",24383465,24383665,4.14,5.05,2.85,2.2,1.08e-06,7.99e-05,2,2
"chr1",132586903,132587103,2.52,3.67,0.04,3.63,1.08e-06,7.99e-05,2,0
"chr1",163863734,163863934,2.52,3.67,0.04,3.63,1.08e-06,7.99e-05,2,1
"chr10",85984356,85984556,2.52,3.67,0.04,3.63,1.08e-06,7.99e-05,2,0
"chr8",41004679,41004879,2.52,3.67,0.04,3.63,1.08e-06,7.99e-05,2,1
"chr7",132610631,132610831,3.41,4.42,1.78,2.64,1.09e-06,8e-05,2,3
"chr2",30237602,30237802,3.57,4.55,2.04,2.51,1.09e-06,8.01e-05,2,3
"chr4",133339251,133339451,3.57,4.55,2.04,2.51,1.09e-06,8.01e-05,2,3
"chr10",12726388,12726588,4.87,5.71,3.78,1.93,1.1e-06,8.07e-05,2,3
"chr1",163403719,163403919,4.81,5.66,3.71,1.96,1.11e-06,8.09e-05,2,3
"chr17",73239565,73239765,2.51,3.67,0.04,3.63,1.11e-06,8.09e-05,2,1
"chr2",10312489,10312689,2.51,3.67,0.04,3.63,1.11e-06,8.09e-05,2,0
"chr9",105985162,105985362,2.51,3.67,0.04,3.63,1.11e-06,8.09e-05,2,1
"chrX",53162754,53162954,2.51,3.67,0.04,3.63,1.11e-06,8.09e-05,2,1
"chr11",84819432,84819632,3.65,4.63,2.16,2.47,1.11e-06,8.09e-05,2,3
"chr7",120677463,120677663,3.41,4.42,1.78,2.64,1.11e-06,8.1e-05,2,2
"chr15",22902484,22902684,3.41,4.42,1.78,2.64,1.11e-06,8.1e-05,2,3
"chr13",70234493,70234693,3.5,4.5,1.92,2.59,1.11e-06,8.1e-05,2,3
"chr1",72536970,72537170,3.92,4.86,2.54,2.31,1.11e-06,8.1e-05,2,3
"chr13",73336807,73337007,2.99,4.07,1.04,3.03,1.11e-06,8.1e-05,2,2
"chr3",55242607,55242807,2.99,4.07,1.04,3.03,1.11e-06,8.1e-05,2,3
"chr6",135252779,135252979,3.22,4.26,1.46,2.8,1.12e-06,8.18e-05,2,3
"chr11",101119888,101120088,3.65,4.62,2.16,2.47,1.13e-06,8.18e-05,2,3
"chr11",72690138,72690338,2.51,3.66,0.04,3.62,1.13e-06,8.18e-05,2,2
"chr18",12256050,12256250,2.51,3.66,0.04,3.62,1.13e-06,8.18e-05,2,0
"chr8",47413459,47413659,2.51,3.66,0.04,3.62,1.13e-06,8.18e-05,2,1
"chr8",70891446,70891646,2.51,3.66,0.04,3.62,1.13e-06,8.18e-05,2,0
"chr8",94772051,94772251,2.51,3.66,0.04,3.62,1.13e-06,8.18e-05,2,1
"chr1",74391410,74391610,4.45,5.33,3.26,2.07,1.13e-06,8.19e-05,2,3
"chr4",103119453,103119653,4.23,5.14,2.98,2.16,1.14e-06,8.28e-05,2,3
"chr13",48227807,48228007,4.23,5.14,2.98,2.16,1.14e-06,8.28e-05,2,3
"chr12",76837520,76837720,3.22,4.26,1.46,2.8,1.14e-06,8.28e-05,2,3
"chr10",84917176,84917376,4.57,5.44,3.41,2.03,1.14e-06,8.29e-05,2,3
"chr16",91464953,91465153,4.03,4.96,2.71,2.26,1.14e-06,8.29e-05,2,2
"chr9",107612771,107612971,3.65,4.62,2.16,2.46,1.15e-06,8.29e-05,2,3
"chr3",52104984,52105184,3.72,4.69,2.26,2.43,1.15e-06,8.29e-05,2,2
"chr16",52646304,52646504,2.5,3.66,0.04,3.61,1.15e-06,8.29e-05,2,0
"chr2",76097929,76098129,2.5,3.66,0.04,3.61,1.15e-06,8.29e-05,2,0
"chr9",29075130,29075330,2.5,3.66,0.04,3.61,1.15e-06,8.29e-05,2,1
"chr17",54158802,54159002,3.82,1.55,4.43,-2.89,1.15e-06,8.29e-05,2,3
"chr2",65896650,65896850,3.4,4.41,1.78,2.63,1.15e-06,8.29e-05,2,3
"chr1",75479275,75479475,5.01,5.84,3.95,1.89,1.15e-06,8.29e-05,2,3
"chr13",71827207,71827407,2.98,4.06,1.04,3.02,1.15e-06,8.31e-05,2,2
"chr9",13175993,13176193,3.36,0.5,4.01,-3.51,1.16e-06,8.35e-05,1,3
"chr7",99268200,99268400,3.97,4.91,2.63,2.28,1.16e-06,8.35e-05,2,3
"chr2",41228550,41228750,3.21,4.25,1.46,2.8,1.16e-06,8.38e-05,2,1
"chr4",43443017,43443217,3.64,4.62,2.16,2.46,1.17e-06,8.39e-05,2,2
"chr11",69418894,69419094,3.85,4.79,2.46,2.33,1.17e-06,8.41e-05,2,3
"chr1",165194348,165194548,4.95,5.79,3.88,1.9,1.17e-06,8.41e-05,2,3
"chr10",108444590,108444790,2.98,4.06,1.04,3.01,1.17e-06,8.43e-05,2,2
"chr13",113602971,113603171,2.98,4.06,1.04,3.01,1.17e-06,8.43e-05,2,2
"chr10",19850834,19851034,2.98,4.06,1.04,3.01,1.17e-06,8.43e-05,2,3
"chr18",6489913,6490113,4.23,5.13,2.98,2.15,1.18e-06,8.45e-05,2,3
"chr7",127768983,127769183,2.87,3.97,0.78,3.19,1.18e-06,8.48e-05,2,0
"chr14",102219998,102220198,4.03,4.96,2.71,2.25,1.18e-06,8.48e-05,2,3
"chrX",141363418,141363618,4.37,5.26,3.16,2.1,1.18e-06,8.48e-05,2,3
"chr9",31122748,31122948,2.98,4.05,1.04,3.01,1.2e-06,8.57e-05,2,2
"chr15",90679264,90679464,3.79,4.75,2.36,2.38,1.2e-06,8.57e-05,2,3
"chr14",57729971,57730171,3.97,4.9,2.63,2.28,1.2e-06,8.57e-05,2,3
"chr11",67024936,67025136,4.28,5.17,3.04,2.13,1.2e-06,8.59e-05,2,3
"chr14",76110772,76110972,4.37,5.26,3.16,2.1,1.2e-06,8.59e-05,2,3
"chr2",119238776,119238976,3.21,4.25,1.46,2.79,1.21e-06,8.62e-05,2,2
"chr6",90422600,90422800,3.49,4.49,1.92,2.57,1.21e-06,8.66e-05,2,3
"chr11",6267726,6267926,2.97,4.05,1.04,3.01,1.22e-06,8.68e-05,2,2
"chr15",98953485,98953685,2.97,4.05,1.04,3.01,1.22e-06,8.68e-05,2,3
"chr2",107290527,107290727,3.79,4.75,2.36,2.38,1.22e-06,8.68e-05,2,2
"chr9",21510149,21510349,3.97,4.9,2.63,2.27,1.22e-06,8.68e-05,2,3
"chr4",107923474,107923674,4.03,4.95,2.71,2.25,1.22e-06,8.71e-05,2,3
"chr5",91962741,91962941,5.13,5.95,4.1,1.85,1.23e-06,8.74e-05,2,3
"chr14",20973919,20974119,3.64,4.61,2.16,2.45,1.23e-06,8.74e-05,2,3
"chr10",108505045,108505245,3.49,4.49,1.92,2.57,1.24e-06,8.78e-05,2,2
"chr15",82146974,82147174,4.27,5.17,3.04,2.13,1.24e-06,8.8e-05,2,3
"chr4",91371945,91372145,4.08,5,2.78,2.22,1.24e-06,8.8e-05,2,0
"chr12",90113556,90113756,3.14,-0.06,3.81,-3.88,1.24e-06,8.8e-05,0,3
"chrX",46673852,46674052,3.14,-0.06,3.81,-3.88,1.24e-06,8.8e-05,0,3
"chr1",29217185,29217385,3.14,-0.06,3.81,-3.88,1.24e-06,8.8e-05,0,3
"chr5",89611445,89611645,3.14,-0.06,3.81,-3.88,1.24e-06,8.8e-05,1,3
"chr15",58933653,58933853,4.03,4.95,2.71,2.25,1.24e-06,8.81e-05,2,3
"chr15",27525199,27525399,4.22,5.13,2.98,2.14,1.26e-06,8.89e-05,2,3
"chr5",99728977,99729177,3.49,4.48,1.92,2.57,1.26e-06,8.9e-05,2,1
"chr16",23107269,23107469,4.36,5.25,3.16,2.09,1.26e-06,8.9e-05,2,3
"chr11",33769239,33769439,3.71,4.67,2.26,2.41,1.28e-06,9.01e-05,2,3
"chr12",40383815,40384015,3.2,4.23,1.46,2.78,1.28e-06,9.02e-05,2,3
"chr17",7945682,7945882,3.96,4.89,2.63,2.27,1.28e-06,9.06e-05,2,3
"chr14",20695143,20695343,4.08,5,2.78,2.22,1.28e-06,9.06e-05,2,2
"chr14",67234445,67234645,3.65,4.63,2.16,2.47,1.29e-06,9.08e-05,2,3
"chr1",127380905,127381105,2.96,4.03,1.04,2.99,1.29e-06,9.09e-05,2,3
"chr9",34620141,34620341,3.52,0.9,4.16,-3.26,1.29e-06,9.09e-05,2,3
"chr1",23648995,23649195,3.52,0.9,4.16,-3.26,1.29e-06,9.09e-05,0,3
"chr17",56360499,56360699,3.52,0.9,4.16,-3.26,1.29e-06,9.09e-05,2,3
"chr18",64619897,64620097,3.31,4.33,1.63,2.71,1.3e-06,9.13e-05,2,2
"chr6",117032378,117032578,3.31,4.33,1.63,2.71,1.3e-06,9.13e-05,2,3
"chr10",78185098,78185298,3.96,4.89,2.63,2.26,1.31e-06,9.17e-05,2,3
"chr4",48536374,48536574,3.78,4.74,2.36,2.37,1.31e-06,9.18e-05,2,3
"chr9",120011217,120011417,4.4,5.28,3.21,2.07,1.32e-06,9.22e-05,2,3
"chr9",108692050,108692250,3.11,4.16,1.26,2.9,1.32e-06,9.25e-05,2,3
"chr11",43836460,43836660,3.31,4.33,1.63,2.7,1.32e-06,9.27e-05,2,3
"chr7",132852498,132852698,2.84,3.94,0.78,3.16,1.33e-06,9.28e-05,2,3
"chr10",81233065,81233265,4.07,4.99,2.78,2.21,1.33e-06,9.29e-05,2,3
"chr6",115134799,115134999,3.57,4.55,2.04,2.51,1.33e-06,9.31e-05,2,3
"chr9",106887129,106887329,4.59,5.45,3.46,2,1.33e-06,9.31e-05,2,3
"chr17",26939585,26939785,4.86,5.7,3.78,1.92,1.33e-06,9.31e-05,2,3
"chr16",87318359,87318559,2.84,3.94,0.78,3.16,1.35e-06,9.42e-05,2,2
"chr10",19990733,19990933,2.84,3.94,0.78,3.16,1.35e-06,9.42e-05,2,1
"chr8",70659668,70659868,3.56,4.55,2.04,2.51,1.35e-06,9.45e-05,2,3
"chr11",55461189,55461389,4.63,5.49,3.5,1.98,1.36e-06,9.45e-05,2,3
"chr18",3767110,3767310,4.4,5.28,3.21,2.07,1.36e-06,9.45e-05,2,3
"chr10",86778510,86778710,5.62,6.41,4.67,1.74,1.36e-06,9.48e-05,2,3
"chr15",103272637,103272837,5.27,6.07,4.26,1.81,1.36e-06,9.49e-05,2,3
"chr4",101508974,101509174,3.1,4.15,1.26,2.89,1.37e-06,9.54e-05,2,1
"chr10",128058846,128059046,4.18,5.08,2.92,2.17,1.37e-06,9.54e-05,2,3
"chr2",58300021,58300221,4.83,5.67,3.74,1.92,1.37e-06,9.54e-05,2,3
"chr9",78395694,78395894,3.3,4.32,1.63,2.7,1.37e-06,9.54e-05,2,1
"chr15",92597065,92597265,3.3,4.32,1.63,2.7,1.37e-06,9.54e-05,2,3
"chr6",54566247,54566447,2.84,3.93,0.78,3.15,1.38e-06,9.54e-05,2,1
"chr5",53463149,53463349,2.84,3.93,0.78,3.15,1.38e-06,9.54e-05,2,2
"chr15",103305255,103305455,4.7,5.55,3.59,1.96,1.38e-06,9.56e-05,2,3
"chr13",38634970,38635170,3.64,4.62,2.16,2.46,1.38e-06,9.59e-05,2,3
"chr11",61930134,61930334,3.09,4.15,1.26,2.89,1.4e-06,9.67e-05,2,3
"chr15",96699711,96699911,3.3,4.32,1.63,2.69,1.4e-06,9.68e-05,2,1
"chr10",97436777,97436977,2.83,3.93,0.78,3.15,1.4e-06,9.68e-05,2,2
"chr11",75531637,75531837,2.83,3.93,0.78,3.15,1.4e-06,9.68e-05,2,3
"chr13",109117386,109117586,2.83,3.93,0.78,3.15,1.4e-06,9.68e-05,2,0
"chr7",130266212,130266412,2.83,3.93,0.78,3.15,1.4e-06,9.68e-05,2,1
"chr7",145283900,145284100,4.12,5.03,2.85,2.18,1.41e-06,9.73e-05,2,3
"chr19",60580977,60581177,4.27,5.17,3.04,2.12,1.42e-06,9.79e-05,2,3
"chr9",123717538,123717738,4.48,5.35,3.32,2.04,1.42e-06,9.8e-05,2,3
"chr12",53252576,53252776,3.3,4.32,1.63,2.69,1.43e-06,9.83e-05,2,3
"chr16",21947415,21947615,3.84,4.78,2.46,2.33,1.43e-06,9.83e-05,2,3
"chr16",38821066,38821266,2.83,3.92,0.78,3.15,1.43e-06,9.83e-05,2,3
"chr19",23140958,23141158,5,5.82,3.95,1.87,1.43e-06,9.83e-05,2,3
"chr11",52004166,52004366,3.56,4.54,2.04,2.5,1.43e-06,9.84e-05,2,2
"chr18",61505421,61505621,4.63,5.49,3.5,1.98,1.44e-06,9.88e-05,2,3
"chr7",88130251,88130451,3.09,4.14,1.26,2.88,1.45e-06,9.95e-05,2,3
"chrX",52217659,52217859,3.09,4.14,1.26,2.88,1.45e-06,9.95e-05,2,3
"chr10",19915412,19915612,3.09,4.14,1.26,2.88,1.45e-06,9.95e-05,2,3
"chr11",113619164,113619364,2.69,3.82,0.46,3.36,1.45e-06,9.95e-05,2,2
"chr14",66493727,66493927,3.29,4.31,1.63,2.69,1.45e-06,9.96e-05,2,2
"chr10",24927498,24927698,2.82,3.92,0.78,3.14,1.46e-06,9.96e-05,2,3
"chr11",120310915,120311115,2.82,3.92,0.78,3.14,1.46e-06,9.96e-05,2,2
"chr9",108569801,108570001,2.82,3.92,0.78,3.14,1.46e-06,9.96e-05,2,1
"chr7",139388761,139388961,5.91,6.68,5,1.69,1.46e-06,9.96e-05,2,3
"chr14",14346203,14346403,3.64,4.61,2.16,2.45,1.46e-06,9.99e-05,2,1
"chr8",84662784,84662984,3.08,4.14,1.26,2.87,1.48e-06,0.000101,2,0
"chr11",120549550,120549750,3.08,4.14,1.26,2.87,1.48e-06,0.000101,2,3
"chr16",87602795,87602995,3.08,4.14,1.26,2.87,1.48e-06,0.000101,2,3
"chr8",106935880,106936080,2.69,3.81,0.46,3.36,1.48e-06,0.000101,2,3
"chr11",116335338,116335538,2.82,3.91,0.78,3.14,1.48e-06,0.000101,2,2
"chr2",125858962,125859162,3.9,4.84,2.54,2.29,1.49e-06,0.000102,2,2
"chr5",31193086,31193286,4.22,5.12,2.98,2.14,1.49e-06,0.000102,2,3
"chr12",81781209,81781409,4.97,5.79,3.92,1.88,1.49e-06,0.000102,2,3
"chr7",91672322,91672522,4.62,5.48,3.5,1.98,1.5e-06,0.000102,2,3
"chr1",75521442,75521642,4.12,5.02,2.85,2.17,1.5e-06,0.000102,2,3
"chr11",60537629,60537829,3.08,4.13,1.26,2.87,1.51e-06,0.000102,2,3
"chr11",120581479,120581679,2.69,3.81,0.46,3.35,1.51e-06,0.000102,2,1
"chr6",90565892,90566092,3.55,4.53,2.04,2.49,1.51e-06,0.000103,2,3
"chr15",59826212,59826412,3.55,4.53,2.04,2.49,1.51e-06,0.000103,2,2
"chr16",5049895,5050095,4.76,5.61,3.67,1.94,1.51e-06,0.000103,2,3
"chr15",84167686,84167886,3.63,4.6,2.16,2.45,1.51e-06,0.000103,2,3
"chr8",111940310,111940510,3.39,4.4,1.78,2.62,1.52e-06,0.000103,2,3
"chr5",28530588,28530788,3.08,4.13,1.26,2.86,1.53e-06,0.000104,2,3
"chr8",105606591,105606791,3.08,4.13,1.26,2.86,1.53e-06,0.000104,2,3
"chr7",44473090,44473290,3.08,4.13,1.26,2.86,1.53e-06,0.000104,2,2
"chr12",12892750,12892950,3.08,4.13,1.26,2.86,1.53e-06,0.000104,2,2
"chr5",134582634,134582834,2.68,3.8,0.46,3.35,1.53e-06,0.000104,2,2
"chr7",96796994,96797194,2.68,3.8,0.46,3.35,1.53e-06,0.000104,2,1
"chr8",105225099,105225299,3.9,4.83,2.54,2.29,1.54e-06,0.000104,2,2
"chr18",51185682,51185882,4.55,5.41,3.41,2,1.54e-06,0.000104,2,3
"chr18",22343939,22344139,3.96,4.89,2.63,2.26,1.54e-06,0.000104,2,3
"chr6",91515759,91515959,4.35,5.24,3.16,2.08,1.54e-06,0.000104,2,3
"chr16",83566619,83566819,3.33,0.5,3.98,-3.48,1.55e-06,0.000105,1,3
"chr1",152904592,152904792,3.48,4.48,1.92,2.56,1.56e-06,0.000105,2,1
"chr11",113487665,113487865,2.52,3.67,0.04,3.63,1.56e-06,0.000105,2,1
"chr6",38120747,38120947,2.68,3.8,0.46,3.34,1.56e-06,0.000105,2,3
"chr18",69152268,69152468,2.68,3.8,0.46,3.34,1.56e-06,0.000105,2,1
"chr11",58801952,58802152,2.81,3.9,0.78,3.12,1.57e-06,0.000105,2,2
"chr1",167256986,167257186,3.63,4.6,2.16,2.44,1.57e-06,0.000105,2,3
"chr10",8886128,8886328,3.63,4.6,2.16,2.44,1.57e-06,0.000105,2,3
"chr15",102279379,102279579,3.39,4.39,1.78,2.61,1.58e-06,0.000106,2,2
"chr4",134930787,134930987,3.39,4.39,1.78,2.61,1.58e-06,0.000106,2,2
"chr2",73312569,73312769,4.31,5.19,3.1,2.09,1.58e-06,0.000106,2,3
"chr13",100786536,100786736,4.55,5.41,3.41,2,1.59e-06,0.000107,2,3
"chr12",26456342,26456542,4.01,4.93,2.71,2.23,1.59e-06,0.000107,2,2
"chr13",89539375,89539575,3.07,4.12,1.26,2.86,1.59e-06,0.000107,2,2
"chr9",72968519,72968719,3.07,4.12,1.26,2.86,1.59e-06,0.000107,2,2
"chr4",152477539,152477739,4.69,5.54,3.59,1.95,1.61e-06,0.000108,2,3
"chr4",136310729,136310929,4.01,4.93,2.71,2.23,1.62e-06,0.000108,2,3
"chr15",91049770,91049970,4.51,5.38,3.36,2.02,1.62e-06,0.000108,2,2
"chr18",80256076,80256276,4.51,5.38,3.36,2.02,1.62e-06,0.000108,2,3
"chr2",131352780,131352980,4.55,5.42,3.41,2,1.62e-06,0.000108,2,3
"chr4",42950167,42950367,3.07,4.12,1.26,2.85,1.62e-06,0.000108,2,0
"chr17",56476359,56476559,3.19,4.23,1.46,2.77,1.65e-06,0.00011,2,3
"chr5",4486168,4486368,5.02,5.84,3.98,1.86,1.65e-06,0.00011,2,3
"chr16",85415403,85415603,3.06,4.11,1.26,2.85,1.65e-06,0.00011,2,2
"chr14",117196945,117197145,2.66,3.78,0.46,3.33,1.65e-06,0.00011,2,2
"chr13",115090131,115090331,4.39,5.27,3.21,2.06,1.65e-06,0.00011,2,3
"chr1",175240143,175240343,4.06,4.98,2.78,2.2,1.66e-06,0.00011,2,3
"chr11",59662340,59662540,4.26,5.15,3.04,2.1,1.66e-06,0.000111,2,3
"chr18",67774776,67774976,5.14,5.96,4.13,1.83,1.67e-06,0.000111,2,3
"chr12",9916006,9916206,2.5,3.65,0.04,3.61,1.68e-06,0.000111,2,0
"chr15",80091286,80091486,2.5,3.65,0.04,3.61,1.68e-06,0.000111,2,2
"chr5",116446652,116446852,2.5,3.65,0.04,3.61,1.68e-06,0.000111,2,1
"chr4",102691480,102691680,3.19,4.23,1.46,2.77,1.68e-06,0.000111,2,1
"chr7",114562759,114562959,3.19,4.23,1.46,2.77,1.68e-06,0.000111,2,3
"chr8",109693253,109693453,4.06,4.98,2.78,2.2,1.68e-06,0.000111,2,3
"chr1",127511497,127511697,2.66,3.78,0.46,3.32,1.68e-06,0.000111,2,1
"chr19",57473422,57473622,2.66,3.78,0.46,3.32,1.68e-06,0.000111,2,1
"chr7",66309333,66309533,2.66,3.78,0.46,3.32,1.68e-06,0.000111,2,0
"chr7",79920546,79920746,2.66,3.78,0.46,3.32,1.68e-06,0.000111,2,2
"chr5",99380209,99380409,3.62,4.59,2.16,2.43,1.69e-06,0.000111,2,2
"chr5",27743226,27743426,4.17,5.07,2.92,2.15,1.69e-06,0.000112,2,3
"chr9",84921881,84922081,3.37,4.38,1.78,2.6,1.7e-06,0.000112,2,2
"chr16",13940591,13940791,4.9,5.73,3.85,1.88,1.71e-06,0.000112,2,3
"chr3",65174635,65174835,3.11,-0.06,3.78,-3.84,1.71e-06,0.000112,0,3
"chr18",29207503,29207703,3.11,-0.06,3.78,-3.84,1.71e-06,0.000112,1,3
"chr9",9883004,9883204,3.11,-0.06,3.78,-3.84,1.71e-06,0.000112,0,3
"chr11",70562695,70562895,2.49,3.64,0.04,3.6,1.71e-06,0.000112,2,1
"chr12",59198931,59199131,2.49,3.64,0.04,3.6,1.71e-06,0.000112,2,0
"chr5",96747728,96747928,2.49,3.64,0.04,3.6,1.71e-06,0.000112,2,1
"chr6",31817585,31817785,2.49,3.64,0.04,3.6,1.71e-06,0.000112,2,0
"chr7",64841063,64841263,2.49,3.64,0.04,3.6,1.71e-06,0.000112,2,0
"chr9",51168040,51168240,2.49,3.64,0.04,3.6,1.71e-06,0.000112,2,0
"chrX",5730877,5731077,2.49,3.64,0.04,3.6,1.71e-06,0.000112,2,1
"chr11",109269716,109269916,3.19,4.22,1.46,2.76,1.71e-06,0.000112,2,1
"chr18",83464620,83464820,3.19,4.22,1.46,2.76,1.71e-06,0.000112,2,2
"chr6",145250311,145250511,4.06,4.97,2.78,2.19,1.71e-06,0.000112,2,3
"chr13",48498005,48498205,2.65,3.77,0.46,3.32,1.72e-06,0.000112,2,2
"chr2",135980500,135980700,2.65,3.77,0.46,3.32,1.72e-06,0.000112,2,1
"chr9",23557703,23557903,5.16,5.97,4.16,1.82,1.72e-06,0.000113,2,3
"chr9",109931620,109931820,5.52,6.3,4.57,1.74,1.73e-06,0.000113,2,3
"chr11",95309647,95309847,4,4.92,2.71,2.22,1.73e-06,0.000113,2,3
"chr3",53017074,53017274,3.69,4.65,2.26,2.39,1.73e-06,0.000113,2,3
"chr11",23124476,23124676,2.96,4.03,1.04,2.99,1.73e-06,0.000113,2,2
"chr7",111028756,111028956,4.43,5.3,3.26,2.04,1.74e-06,0.000113,2,3
"chr11",47379226,47379426,2.49,3.64,0.04,3.6,1.74e-06,0.000113,2,2
"chr14",14633214,14633414,2.49,3.64,0.04,3.6,1.74e-06,0.000113,2,1
"chr14",24763900,24764100,2.49,3.64,0.04,3.6,1.74e-06,0.000113,2,1
"chr17",73142574,73142774,2.49,3.64,0.04,3.6,1.74e-06,0.000113,2,0
"chr2",11458009,11458209,2.49,3.64,0.04,3.6,1.74e-06,0.000113,2,0
"chr2",116893971,116894171,2.49,3.64,0.04,3.6,1.74e-06,0.000113,2,1
"chr4",22488351,22488551,2.49,3.64,0.04,3.6,1.74e-06,0.000113,2,2
"chr9",51278500,51278700,2.49,3.64,0.04,3.6,1.74e-06,0.000113,2,1
"chr15",63769043,63769243,3.18,4.22,1.46,2.76,1.74e-06,0.000113,2,2
"chr7",128744781,128744981,3.18,4.22,1.46,2.76,1.74e-06,0.000113,2,1
"chr17",88706435,88706635,3.55,4.54,2.04,2.49,1.75e-06,0.000114,2,2
"chr19",53142481,53142681,5.25,6.06,4.26,1.79,1.75e-06,0.000114,2,3
"chr15",25413553,25413753,3.69,4.65,2.26,2.38,1.76e-06,0.000114,2,2
"chr2",164460902,164461102,3.69,4.65,2.26,2.38,1.76e-06,0.000114,2,3
"chr16",6348905,6349105,2.95,4.03,1.04,2.98,1.76e-06,0.000114,2,1
"chr2",162430202,162430402,2.95,4.03,1.04,2.98,1.76e-06,0.000114,2,2
"chr10",112977720,112977920,4.21,5.11,2.98,2.13,1.77e-06,0.000115,2,3
"chr11",87987429,87987629,3.46,4.46,1.92,2.54,1.77e-06,0.000115,2,3
"chr4",48585514,48585714,4.11,5.02,2.85,2.17,1.78e-06,0.000115,2,3
"chr14",30184625,30184825,2.48,3.63,0.04,3.59,1.78e-06,0.000115,2,1
"chr15",72809967,72810167,2.48,3.63,0.04,3.59,1.78e-06,0.000115,2,0
"chr5",30945621,30945821,2.48,3.63,0.04,3.59,1.78e-06,0.000115,2,0
"chr7",72751555,72751755,2.48,3.63,0.04,3.59,1.78e-06,0.000115,2,2
"chr8",128544499,128544699,2.48,3.63,0.04,3.59,1.78e-06,0.000115,2,1
"chrX",5468141,5468341,2.48,3.63,0.04,3.59,1.78e-06,0.000115,2,1
"chrX",143658745,143658945,2.48,3.63,0.04,3.59,1.78e-06,0.000115,2,0
"chr7",68119755,68119955,2.64,3.76,0.46,3.3,1.78e-06,0.000115,2,1
"chr15",79403154,79403354,2.64,3.76,0.46,3.3,1.78e-06,0.000115,2,2
"chr2",157457525,157457725,2.64,3.76,0.46,3.3,1.78e-06,0.000115,2,1
"chr4",134768644,134768844,2.64,3.76,0.46,3.3,1.78e-06,0.000115,2,0
"chr14",20707370,20707570,4,4.92,2.71,2.21,1.79e-06,0.000115,2,3
"chr9",89462165,89462365,3.69,4.64,2.26,2.38,1.79e-06,0.000115,2,3
"chr1",75168723,75168923,4.5,5.37,3.36,2,1.8e-06,0.000116,2,3
"chr12",72761173,72761373,4.16,5.06,2.92,2.14,1.8e-06,0.000116,2,3
"chr7",125552090,125552290,3.89,4.83,2.54,2.28,1.8e-06,0.000116,2,3
"chr11",20987833,20988033,2.48,3.63,0.04,3.58,1.81e-06,0.000116,2,1
"chr11",45634701,45634901,2.48,3.63,0.04,3.58,1.81e-06,0.000116,2,0
"chr15",101773565,101773765,2.48,3.63,0.04,3.58,1.81e-06,0.000116,2,0
"chr17",64480832,64481032,2.48,3.63,0.04,3.58,1.81e-06,0.000116,2,2
"chr17",72878860,72879060,2.48,3.63,0.04,3.58,1.81e-06,0.000116,2,1
"chr3",53756596,53756796,2.48,3.63,0.04,3.58,1.81e-06,0.000116,2,1
"chr6",3684384,3684584,2.48,3.63,0.04,3.58,1.81e-06,0.000116,2,0
"chr6",34901967,34902167,2.48,3.63,0.04,3.58,1.81e-06,0.000116,2,0
"chr7",54660502,54660702,2.48,3.63,0.04,3.58,1.81e-06,0.000116,2,0
"chr13",103959894,103960094,3.18,4.21,1.46,2.75,1.81e-06,0.000116,2,1
"chrX",145505975,145506175,4.68,5.53,3.59,1.94,1.82e-06,0.000117,2,3
"chr12",53973465,53973665,3.83,4.77,2.46,2.31,1.83e-06,0.000117,2,3
"chr10",19934097,19934297,4.61,5.47,3.5,1.97,1.84e-06,0.000117,2,3
"chr14",48038819,48039019,2.47,3.62,0.04,3.58,1.84e-06,0.000117,2,1
"chr15",92973714,92973914,2.47,3.62,0.04,3.58,1.84e-06,0.000117,2,1
"chr2",117877865,117878065,2.47,3.62,0.04,3.58,1.84e-06,0.000117,2,0
"chr2",29624849,29625049,3.55,4.53,2.04,2.48,1.85e-06,0.000118,2,3
"chr10",20148808,20149008,5.04,5.86,4.01,1.84,1.85e-06,0.000118,2,3
"chr14",17404181,17404381,2.94,4.01,1.04,2.97,1.87e-06,0.000119,2,1
"chr2",73892734,73892934,5.84,6.61,4.93,1.68,1.87e-06,0.000119,2,3
